source_id,filename,path,format,size_bytes,title,author_publisher,year,language,sat_era,subject,classification,relevance,status
SRC-001,SAT_2018_Edition_2017.pdf,SAT_2018_Edition_2017.pdf,PDF,34309548,SAT 2018 Edition,Kaplan,2017,en,NEW_SAT_2016,"Reading,Writing,Math",C_LEGACY_BUT_USEFUL,HIGH,ACCESSIBLE
SRC-002,1barron_s_new_sat.pdf,1barron_s_new_sat.pdf,PDF,24206769,Barron's New SAT,Barron's,2016,en,NEW_SAT_2016,"Reading,Writing,Math",C_LEGACY_BUT_USEFUL,HIGH,ACCESSIBLE
SRC-003,black_christopher_anestis_mark_mcgraw_hill_education_sat_201.pdf,black_christopher_anestis_mark_mcgraw_hill_education_sat_201.pdf,PDF,65668030,McGraw-Hill Education SAT,"Christopher Black, Mark Anestis / McGraw-Hill",2016,en,NEW_SAT_2016,"Reading,Writing,Math",C_LEGACY_BUT_USEFUL,HIGH,ACCESSIBLE
SRC-004,the_new_sat_1_500_practice_questions.pdf,the_new_sat_1_500_practice_questions.pdf,PDF,67244266,The New SAT 1500 Practice Questions,Unknown,2016,en,NEW_SAT_2016,"Reading,Writing,Math",C_LEGACY_BUT_USEFUL,HIGH,ACCESSIBLE
SRC-005,6_sat_practice_tests.pdf,6 SAT Practice Tests/6_sat_practice_tests.pdf,PDF,61202616,6 SAT Practice Tests,Unknown,2016,en,NEW_SAT_2016,"Reading,Writing,Math",C_LEGACY_BUT_USEFUL,HIGH,ACCESSIBLE
SRC-006,1119215846.epub,"1,001 SAT Practice Questions For Dummies/1119215846.epub",EPUB,10136551,"1,001 SAT Practice Questions For Dummies",Wiley,2015,en,NEW_SAT_2016,"Reading,Writing,Math",C_LEGACY_BUT_USEFUL,MEDIUM,ACCESSIBLE
SRC-007,Mike_Barrett-SAT_Prep_Black_Book.pdf,Mike_Barrett-SAT_Prep_Black_Book_The_Most_Effectiv.pdf,PDF,1918517,SAT Prep Black Book,Mike Barrett / SAT Tutoring,2013,en,OLD_SAT_PRE2016,Strategy,C_LEGACY_BUT_USEFUL,MEDIUM,ACCESSIBLE
SRC-008,Master the SAT 2015 - Peterson's.epub,Master the SAT 2015 - Peterson's.epub,EPUB,11078702,Master the SAT 2015,Peterson's,2015,en,OLD_SAT_PRE2016,"Reading,Writing,Math",D_SUPPLEMENTARY,MEDIUM,ACCESSIBLE
SRC-009,SAT Power Vocab 2017.pdf,"SAT Power Vocab_ A Complete Guide...(2017).pdf",PDF,18710233,SAT Power Vocab,Princeton Review,2017,en,NEW_SAT_2016,Vocabulary,D_SUPPLEMENTARY,MEDIUM,ACCESSIBLE
SRC-010,Direct Hits Core Vocabulary.pdf,Direct Hits Core Vocabulary for SAT 2011 Edition.pdf,PDF,21019629,Direct Hits Core Vocabulary for SAT,Direct Hits,2011,en,OLD_SAT_PRE2016,Vocabulary,D_SUPPLEMENTARY,MEDIUM,ACCESSIBLE
SRC-011,Vocabulary_Cartoons_SAT.pdf,Vocabulary_Cartoons_SAT.pdf,PDF,9570590,Vocabulary Cartoons SAT,New Monic Books,2005,en,OLD_SAT_PRE2016,Vocabulary,D_SUPPLEMENTARY,LOW,ACCESSIBLE
SRC-012,25903680-Sat-250-Words.pdf,250 words/25903680-Sat-250-Words-Practice-Book.pdf,PDF,1918054,SAT 250 Words Practice Book,Unknown,2010,en,OLD_SAT_PRE2016,Vocabulary,D_SUPPLEMENTARY,LOW,ACCESSIBLE
SRC-013,500-sat-vocab.pdf,SAT English Vocabulary/Resources/500-sat-vocab.pdf,PDF,28327671,500 SAT Vocabulary,Unknown,2015,en,NEW_SAT_2016,Vocabulary,D_SUPPLEMENTARY,MEDIUM,ACCESSIBLE
SRC-014,Defining Twilight.pdf,Defining Twilight.pdf,PDF,3724439,Defining Twilight: Vocabulary Workbook,Brian Leaf / Cliffs Notes,2009,en,OLD_SAT_PRE2016,Vocabulary,D_SUPPLEMENTARY,LOW,ACCESSIBLE
SRC-015,Def New Moon.pdf,Def New Moon.pdf,PDF,2382962,Defining New Moon: Vocabulary Workbook,Brian Leaf / Cliffs Notes,2010,en,OLD_SAT_PRE2016,Vocabulary,D_SUPPLEMENTARY,LOW,ACCESSIBLE
SRC-016,Defining Breaking Dawn.pdf,"(Defining Series)...Breaking Dawn...(2010).pdf",PDF,1431315,Defining Breaking Dawn: Vocabulary Workbook,Brian Leaf / Cliffs Notes,2010,en,OLD_SAT_PRE2016,Vocabulary,D_SUPPLEMENTARY,LOW,ACCESSIBLE
SRC-017,Defining Eclipse.pdf,"(Defining Series)...Eclipse...(2010).pdf",PDF,992835,Defining Eclipse: Vocabulary Workbook,Brian Leaf / Cliffs Notes,2010,en,OLD_SAT_PRE2016,Vocabulary,D_SUPPLEMENTARY,LOW,ACCESSIBLE
SRC-018,SAT-PSAT Word Games.PDF,SAT-PSAT Word Games.PDF,PDF,3245797,SAT-PSAT Word Games,Unknown,2005,en,OLD_SAT_PRE2016,Vocabulary,D_SUPPLEMENTARY,LOW,ACCESSIBLE
